Table S4. Phage lifestyles.	
IMGVR_UViG_3300009011_000452	-
IMGVR_UViG_3300048904_000450	Temperate
IMGVR_UViG_3300048927_000603	Temperate
IMGVR_UViG_3300048926_000415	Temperate
IMGVR_UViG_3300009036_000494	Temperate
IMGVR_UViG_3300048925_000521	Temperate
IMGVR_UViG_3300048924_000349	Temperate
IMGVR_UViG_3300048921_000601	Temperate
IMGVR_UViG_3300048920_000622	Temperate
IMGVR_UViG_3300048919_000543	Temperate
IMGVR_UViG_3300048919_000218	Temperate
IMGVR_UViG_3300013105_000711	Temperate
IMGVR_UViG_3300025711_000202	Temperate
IMGVR_UViG_3300041405_000357	Temperate
IMGVR_UViG_3300041411_000301	Temperate
IMGVR_UViG_3300049172_000210	Temperate
IMGVR_UViG_3300046463_000739	Temperate
IMGVR_UViG_3300046457_000231	Temperate
IMGVR_UViG_3300046491_000273	Temperate
IMGVR_UViG_3300046512_000272	Temperate
IMGVR_UViG_3300049450_000027	Temperate
IMGVR_UViG_3300046460_000186	Temperate
IMGVR_UViG_3300046460_000395	Virulent
IMGVR_UViG_3300046694_000540	Virulent
IMGVR_UViG_3300046471_000065	Temperate
IMGVR_UViG_3300046615_000506	Virulent
IMGVR_UViG_3300046665_000705	Temperate
IMGVR_UViG_3300047320_000367	Temperate
IMGVR_UViG_3300047445_000369	Temperate
IMGVR_UViG_3300047447_000305	Temperate
IMGVR_UViG_3300047469_000269	Virulent
IMGVR_UViG_3300013767_000151	Temperate
IMGVR_UViG_3300050510_000199	Temperate
IMGVR_UViG_3300050515_000213	Virulent
IMGVR_UViG_3300027909_000420	Temperate
IMGVR_UViG_3300050501_000421	Temperate
IMGVR_UViG_3300009162_000224	Virulent
IMGVR_UViG_3300048856_000102	Temperate
IMGVR_UViG_3300048851_000078	Temperate
IMGVR_UViG_3300048679_000055	-
IMGVR_UViG_3300048680_000037	-
IMGVR_UViG_3300048677_000040	-
IMGVR_UViG_3300012840_000025	Virulent
IMGVR_UViG_3300050366_000067	Filtered
IMGVR_UViG_3300050390_000087	Filtered
IMGVR_UViG_3300050370_000065	Filtered
IMGVR_UViG_3300018429_000029	Temperate
IMGVR_UViG_3300031673_013263	-
IMGVR_UViG_3300036796_000146	Virulent
IMGVR_UViG_3300036772_000294	Temperate
IMGVR_UViG_3300036803_000135	Temperate
IMGVR_UViG_3300011946_000013	Temperate
IMGVR_UViG_3300014064_000012	Temperate
IMGVR_UViG_3300011678_000035	Temperate
IMGVR_UViG_3300011919_000059	Temperate
IMGVR_UViG_3300011651_000023	Temperate
IMGVR_UViG_3300011959_000032	Temperate
IMGVR_UViG_3300011574_000051	Temperate
IMGVR_UViG_3300011536_000016	Virulent
IMGVR_UViG_3300011953_000014	Temperate
IMGVR_UViG_3300011957_000046	Temperate
IMGVR_UViG_3300011966_000074	Temperate
IMGVR_UViG_3300011573_000024	Temperate
IMGVR_UViG_3300011960_000027	Temperate
IMGVR_UViG_3300011871_000029	Temperate
IMGVR_UViG_3300011606_000008	Temperate
IMGVR_UViG_3300011875_000017	Temperate
IMGVR_UViG_3300011547_000022	Temperate
IMGVR_UViG_3300011688_000005	Temperate
IMGVR_UViG_3300013641_000007	Temperate
IMGVR_UViG_3300013824_000026	Temperate
IMGVR_UViG_3300011638_000028	Virulent
IMGVR_UViG_3300011865_000031	Virulent
IMGVR_UViG_3300014567_000008	Temperate
IMGVR_UViG_3300013497_000004	Temperate
IMGVR_UViG_3300014687_000016	Temperate
IMGVR_UViG_3300014598_000006	Virulent
IMGVR_UViG_3300014639_000010	Temperate
IMGVR_UViG_3300011920_000106	Temperate
IMGVR_UViG_3300014912_000016	Temperate
IMGVR_UViG_3300014700_000013	Temperate
IMGVR_UViG_3300011583_000026	Temperate
IMGVR_UViG_3300011845_000028	Temperate
IMGVR_UViG_3300011856_000014	Temperate
IMGVR_UViG_3300011663_000018	Virulent
IMGVR_UViG_3300013812_000003	Temperate
IMGVR_UViG_3300013822_000016	Temperate
IMGVR_UViG_3300012631_000034	Temperate
IMGVR_UViG_3300011475_000007	Temperate
IMGVR_UViG_3300011888_000045	Temperate
IMGVR_UViG_3300011827_000049	Temperate
IMGVR_UViG_3300011885_000044	Temperate
IMGVR_UViG_3300011483_000003	Temperate
IMGVR_UViG_3300011531_000028	Virulent
IMGVR_UViG_3300011531_000027	Temperate
IMGVR_UViG_3300011926_000052	Temperate
IMGVR_UViG_3300013349_000006	Temperate
IMGVR_UViG_3300011886_000034	Temperate
IMGVR_UViG_3300011886_000032	Temperate
IMGVR_UViG_3300011784_000032	Temperate
IMGVR_UViG_3300011784_000023	Temperate
IMGVR_UViG_3300011232_000057	Temperate
IMGVR_UViG_3300011232_000056	Temperate
IMGVR_UViG_3300014067_000005	Temperate
IMGVR_UViG_3300011842_000028	Temperate
IMGVR_UViG_3300011150_000005	Temperate
IMGVR_UViG_3300011884_000035	Temperate
IMGVR_UViG_3300011152_000020	Temperate
IMGVR_UViG_3300012243_000002	Temperate
IMGVR_UViG_3300011726_000011	Temperate
IMGVR_UViG_3300011142_000013	Temperate
IMGVR_UViG_3300011142_000020	Temperate
IMGVR_UViG_3300011458_000008	Temperate
IMGVR_UViG_3300011205_000016	Temperate
IMGVR_UViG_3300011660_000005	Temperate
IMGVR_UViG_3300011745_000009	Temperate
IMGVR_UViG_3300011226_000029	Virulent
IMGVR_UViG_3300011203_000010	Temperate
IMGVR_UViG_3300011220_000009	Temperate
IMGVR_UViG_3300011784_000028	Temperate
IMGVR_UViG_3300013818_000010	Temperate
IMGVR_UViG_3300012631_000027	Temperate
IMGVR_UViG_3300014095_000029	Temperate
IMGVR_UViG_3300014897_000006	Temperate
IMGVR_UViG_3300014294_000028	Temperate
IMGVR_UViG_3300014621_000004	Temperate
IMGVR_UViG_3300014015_000012	Temperate
IMGVR_UViG_3300011966_000056	Temperate
IMGVR_UViG_3300031991_000113	Virulent
IMGVR_UViG_3300013126_002689	-
IMGVR_UViG_3300013126_004755	Virulent
IMGVR_UViG_3300013131_002571	-
IMGVR_UViG_3300013131_004340	Virulent
IMGVR_UViG_3300014720_004542	-
IMGVR_UViG_3300014720_002307	Virulent
IMGVR_UViG_3300013132_003038	-
IMGVR_UViG_3300013132_005115	Virulent
IMGVR_UViG_3300013132_000117	Virulent
IMGVR_UViG_3300028109_001232	Filtered
IMGVR_UViG_3300027553_000250	-
IMGVR_UViG_3300031851_004062	Virulent
IMGVR_UViG_3300037427_001387	Virulent
IMGVR_UViG_3300032047_000461	Virulent
IMGVR_UViG_3300032011_001783	Virulent
IMGVR_UViG_3300032088_001843	Virulent
IMGVR_UViG_3300021087_000159	Virulent
IMGVR_UViG_3300012936_006713	Virulent
IMGVR_UViG_3300012954_000456	Virulent
IMGVR_UViG_3300022748_000503	Temperate
IMGVR_UViG_3300047547_000218	Temperate
IMGVR_UViG_3300032318_002176	Virulent
IMGVR_UViG_3300037189_019469	Virulent
IMGVR_UViG_3300032236_000485	-
IMGVR_UViG_3300034198_032743	Virulent
IMGVR_UViG_3300034198_023625	Virulent
IMGVR_UViG_3300038602_000018	Temperate
IMGVR_UViG_3300033571_014707	Virulent
IMGVR_UViG_3300033571_023478	Virulent
IMGVR_UViG_3300033571_016018	Virulent
IMGVR_UViG_3300014203_002962	Temperate
IMGVR_UViG_3300025311_000320	Virulent
IMGVR_UViG_3300009514_001421	Virulent
IMGVR_UViG_3300023179_009250	-
IMGVR_UViG_3300023179_008058	Virulent
IMGVR_UViG_3300005326_000309	Virulent
IMGVR_UViG_3300046820_003339	Virulent
IMGVR_UViG_3300037882_001105	Temperate
IMGVR_UViG_3300007516_002033	Virulent
IMGVR_UViG_3300027976_001381	Virulent
IMGVR_UViG_3300007722_001804	Virulent
IMGVR_UViG_3300032462_001379	Virulent
IMGVR_UViG_3300007523_001314	Virulent
IMGVR_UViG_3300015360_003316	Virulent
IMGVR_UViG_3300029821_000106	Temperate
IMGVR_UViG_3300016675_000586	Temperate
IMGVR_UViG_3300031519_009481	Virulent
IMGVR_UViG_3300035698_026036	Virulent
IMGVR_UViG_3300017917_001671	Virulent
IMGVR_UViG_3300032217_001318	Virulent
IMGVR_UViG_3300032282_005473	Virulent
IMGVR_UViG_3300035158_001236	Temperate
IMGVR_UViG_3300021070_000146	Temperate
IMGVR_UViG_3300021079_000711	Temperate
IMGVR_UViG_3300012760_000629	Filtered
IMGVR_UViG_3300027749_004702	Virulent
IMGVR_UViG_3300027749_003707	-
IMGVR_UViG_3300010157_003642	Virulent
IMGVR_UViG_3300028392_000072	Virulent
IMGVR_UViG_3300031758_009234	Virulent
IMGVR_UViG_3300032050_012562	Virulent
IMGVR_UViG_3300032092_004654	Virulent
IMGVR_UViG_3300008120_009089	Virulent
IMGVR_UViG_3300008117_006871	Virulent
IMGVR_UViG_3300021575_000183	Virulent
IMGVR_UViG_3300008116_007128	Virulent
IMGVR_UViG_3300008114_000003	Virulent
IMGVR_UViG_3300008119_001372	-
IMGVR_UViG_3300042691_052904	Virulent
IMGVR_UViG_3300042691_041718	Virulent
IMGVR_UViG_3300020205_004082	Virulent
IMGVR_UViG_3300020159_004105	Virulent
IMGVR_UViG_3300020159_002412	Virulent
IMGVR_UViG_3300020162_001315	-
IMGVR_UViG_3300014050_000274	-
IMGVR_UViG_3300046000_007362	-
IMGVR_UViG_3300046010_015649	-
IMGVR_UViG_3300042567_001167	Virulent
IMGVR_UViG_3300034082_003116	Virulent
IMGVR_UViG_3300034168_001723	-
IMGVR_UViG_3300034093_005741	Virulent
IMGVR_UViG_3300035666_000200	Virulent
IMGVR_UViG_3300042562_002309	Virulent
IMGVR_UViG_3300042319_003474	-
IMGVR_UViG_3300042289_001536	Virulent
IMGVR_UViG_3300034071_002963	-
IMGVR_UViG_3300042563_004339	Virulent
IMGVR_UViG_3300042863_001402	Temperate
IMGVR_UViG_3300002835_001467	Temperate
IMGVR_UViG_3300020527_000550	-
IMGVR_UViG_3300002408_002908	-
IMGVR_UViG_3300042446_002798	-
IMGVR_UViG_3300042888_001216	Temperate
IMGVR_UViG_3300044547_001599	Virulent
IMGVR_UViG_3300044731_001524	Virulent
IMGVR_UViG_3300044638_004606	-
IMGVR_UViG_3300042898_004647	Virulent
IMGVR_UViG_3300043803_002470	Virulent
IMGVR_UViG_3300042870_001869	Virulent
IMGVR_UViG_3300042890_003940	Virulent
IMGVR_UViG_3300042391_000862	Virulent
IMGVR_UViG_3300042342_002143	Virulent
IMGVR_UViG_3300042334_002769	-
IMGVR_UViG_3300044675_006456	-
IMGVR_UViG_3300042894_004938	Virulent
IMGVR_UViG_3300042894_007174	Virulent
IMGVR_UViG_3300045131_001361	Virulent
IMGVR_UViG_3300022173_000104	Virulent
IMGVR_UViG_3300004797_000646	-
IMGVR_UViG_3300004767_000233	-
IMGVR_UViG_3300027756_002329	-
IMGVR_UViG_3300005662_004051	Virulent
IMGVR_UViG_3300012754_000327	-
IMGVR_UViG_3300012774_000375	-
IMGVR_UViG_3300012758_000348	-
IMGVR_UViG_3300012770_000626	Filtered
IMGVR_UViG_3300012777_000588	Filtered
IMGVR_UViG_3300009183_006168	Virulent
IMGVR_UViG_3300009183_008896	Virulent
IMGVR_UViG_3300027759_005634	Virulent
IMGVR_UViG_3300027759_006493	Virulent
IMGVR_UViG_3300009158_003987	Virulent
IMGVR_UViG_3300027733_002778	Virulent
IMGVR_UViG_3300009159_009012	Virulent
IMGVR_UViG_3300020048_000624	Virulent
IMGVR_UViG_3300020048_000037	Virulent
IMGVR_UViG_3300020048_000016	Virulent
IMGVR_UViG_3300045417_000367	Virulent
IMGVR_UViG_3300043827_000395	Virulent
IMGVR_UViG_3300044293_000485	Virulent
IMGVR_UViG_3300045431_000390	Virulent
IMGVR_UViG_3300032731_000255	Virulent
IMGVR_UViG_3300033473_000255	Virulent
IMGVR_UViG_3300032288_006144	Temperate
IMGVR_UViG_3300032288_004964	Virulent
IMGVR_UViG_3300032326_001736	Virulent
IMGVR_UViG_3300010885_074427	-
IMGVR_UViG_3300010885_091186	Virulent
IMGVR_UViG_3300012713_000116	Filtered
IMGVR_UViG_3300013309_000076	Filtered
IMGVR_UViG_3300016693_000116	Filtered
IMGVR_UViG_3300012732_000168	Filtered
IMGVR_UViG_3300021091_002412	Virulent
IMGVR_UViG_3300021133_000934	Virulent
IMGVR_UViG_3300020731_000918	Virulent
IMGVR_UViG_3300021142_002273	Virulent
IMGVR_UViG_3300000439_002906	Virulent
IMGVR_UViG_3300000553_004124	Virulent
IMGVR_UViG_3300021378_001697	Virulent
IMGVR_UViG_3300021375_000283	Virulent
IMGVR_UViG_3300021425_003597	Virulent
IMGVR_UViG_3300021364_000049	Virulent
IMGVR_UViG_3300007338_000120	Filtered
IMGVR_UViG_3300006391_000125	Filtered
IMGVR_UViG_3300011325_000077	Temperate
IMGVR_UViG_3300007325_000021	-
IMGVR_UViG_3300028045_002237	Virulent
IMGVR_UViG_3300023109_000304	Virulent
IMGVR_UViG_3300024259_002152	Virulent
IMGVR_UViG_3300024062_000790	-
IMGVR_UViG_3300024059_000033	-
IMGVR_UViG_3300038724_000006	Temperate
IMGVR_UViG_3300028194_000943	Virulent
IMGVR_UViG_3300031701_000171	Virulent
IMGVR_UViG_3300031701_000039	Virulent
IMGVR_UViG_3300031606_000096	Virulent
IMGVR_UViG_3300017746_005595	Virulent
IMGVR_UViG_3300017746_005466	Virulent
IMGVR_UViG_3300017748_005125	Virulent
IMGVR_UViG_3300017776_005763	Virulent
IMGVR_UViG_3300017779_006577	Virulent
IMGVR_UViG_3300017779_005826	Virulent
IMGVR_UViG_3300017725_003171	Virulent
IMGVR_UViG_3300017750_004053	-
IMGVR_UViG_3300017750_004193	Virulent
IMGVR_UViG_3300017753_003313	Virulent
IMGVR_UViG_3300017753_003847	Virulent
IMGVR_UViG_3300017760_003428	Virulent
IMGVR_UViG_3300017763_005931	Virulent
IMGVR_UViG_3300017714_004350	Virulent
IMGVR_UViG_3300017759_003764	-
IMGVR_UViG_3300017732_002833	-
IMGVR_UViG_3300017730_003745	Virulent
IMGVR_UViG_3300017730_003861	Virulent
IMGVR_UViG_3300017728_004155	Virulent
IMGVR_UViG_3300017741_003350	Virulent
IMGVR_UViG_3300017745_002542	Virulent
IMGVR_UViG_3300017720_003080	Virulent
IMGVR_UViG_3300017764_004486	Virulent
IMGVR_UViG_3300017764_004796	Virulent
IMGVR_UViG_3300046167_000977	Temperate
IMGVR_UViG_3300047354_001583	Temperate
IMGVR_UViG_3300046743_000442	-
IMGVR_UViG_3300046387_001282	-
IMGVR_UViG_3300046371_000755	Temperate
IMGVR_UViG_3300046425_000788	Temperate
IMGVR_UViG_3300046744_000540	Temperate
IMGVR_UViG_3300046734_001203	Temperate
IMGVR_UViG_3300047352_000786	Temperate
IMGVR_UViG_3300048006_000539	Temperate
IMGVR_UViG_3300046389_000728	-
IMGVR_UViG_3300009106_000581	-
IMGVR_UViG_3300009107_000475	-
IMGVR_UViG_3300008627_001018	-
IMGVR_UViG_3300007759_000626	-
IMGVR_UViG_3300007765_000841	-
IMGVR_UViG_3300008625_001175	-
IMGVR_UViG_3300007755_000534	-
IMGVR_UViG_3300031658_002814	Virulent
IMGVR_UViG_3300027714_002966	Virulent
IMGVR_UViG_3300027771_000215	Virulent
IMGVR_UViG_3300006947_002489	Virulent
IMGVR_UViG_3300027704_002959	Virulent
IMGVR_UViG_3300027704_002525	Virulent
IMGVR_UViG_3300006193_001690	Virulent
IMGVR_UViG_3300027672_001612	Virulent
IMGVR_UViG_3300006190_000862	Virulent
IMGVR_UViG_3300027522_000723	Virulent
IMGVR_UViG_3300006191_000011	Virulent
IMGVR_UViG_3300027668_001596	Virulent
IMGVR_UViG_3300006352_000807	Virulent
IMGVR_UViG_3300027686_000028	Virulent
IMGVR_UViG_3300035442_000835	Filtered
IMGVR_UViG_3300031608_001207	Virulent
IMGVR_UViG_3300031687_001094	-
IMGVR_UViG_3300031687_001200	Virulent
IMGVR_UViG_3300031612_000980	Virulent
IMGVR_UViG_3300031510_001233	Virulent
IMGVR_UViG_3300031688_001632	Virulent
IMGVR_UViG_3300031647_000996	Virulent
IMGVR_UViG_3300031628_000944	Virulent
IMGVR_UViG_3300031695_001277	Virulent
IMGVR_UViG_3300031689_000676	Virulent
IMGVR_UViG_3300031655_000612	Virulent
IMGVR_UViG_3300031598_001270	Virulent
IMGVR_UViG_3300031848_001118	Virulent
IMGVR_UViG_3300031703_000809	Virulent
IMGVR_UViG_3300031175_000235	Virulent
IMGVR_UViG_3300031141_000885	Virulent
IMGVR_UViG_3300031705_000984	Temperate
IMGVR_UViG_3300031167_000865	Virulent
IMGVR_UViG_3300031644_000871	Virulent
IMGVR_UViG_3300031656_000737	Virulent
IMGVR_UViG_3300031599_001217	Virulent
IMGVR_UViG_3300016486_000609	Virulent
IMGVR_UViG_3300035698_002343	Virulent
IMGVR_UViG_3300035698_011428	Virulent
IMGVR_UViG_3300035698_003506	Virulent
IMGVR_UViG_3300022867_000784	Virulent
IMGVR_UViG_3300023231_000502	Virulent
IMGVR_UViG_3300022851_000329	Virulent
IMGVR_UViG_3300031227_001329	Virulent
IMGVR_UViG_3300022842_000539	Virulent
IMGVR_UViG_3300022848_000723	Virulent
IMGVR_UViG_3300023240_000994	Virulent
IMGVR_UViG_3300005913_001042	Virulent
IMGVR_UViG_3300007074_001260	Virulent
IMGVR_UViG_3300025425_001421	Virulent
IMGVR_UViG_3300005931_001093	Virulent
IMGVR_UViG_3300025438_001365	Virulent
IMGVR_UViG_3300005914_001299	Virulent
IMGVR_UViG_3300025502_001290	Virulent
IMGVR_UViG_3300005935_002175	Temperate
IMGVR_UViG_3300010883_026746	Virulent
IMGVR_UViG_3300045790_002581	Virulent
IMGVR_UViG_3300046534_002273	Temperate
IMGVR_UViG_3300046450_001701	Temperate
IMGVR_UViG_3300047669_001537	-
IMGVR_UViG_3300046532_001993	Temperate
IMGVR_UViG_3300046467_000317	Virulent
IMGVR_UViG_3300009409_000078	Virulent
IMGVR_UViG_3300009705_002432	Temperate
IMGVR_UViG_3300009705_003564	Virulent
IMGVR_UViG_3300027801_001463	Virulent
IMGVR_UViG_3300040756_000029	Filtered
IMGVR_UViG_3300031977_003560	Virulent
IMGVR_UViG_3300032086_003089	Virulent
IMGVR_UViG_3300031974_002002	Virulent
IMGVR_UViG_3300032087_004203	Virulent
IMGVR_UViG_3300032087_006415	Virulent
IMGVR_UViG_3300032082_003560	Virulent
IMGVR_UViG_3300031841_003346	Virulent
IMGVR_UViG_3300034407_001567	Virulent
IMGVR_UViG_3300014708_000157	-
IMGVR_UViG_3300044236_002933	Virulent
IMGVR_UViG_3300044237_004261	Virulent
IMGVR_UViG_3300044218_004882	Virulent
IMGVR_UViG_3300044219_005273	Virulent
IMGVR_UViG_3300044227_006733	Temperate
IMGVR_UViG_3300044216_006486	Virulent
IMGVR_UViG_3300044228_005234	Virulent
IMGVR_UViG_3300044228_004873	Virulent
IMGVR_UViG_3300044268_006018	Virulent
IMGVR_UViG_3300044229_003641	-
IMGVR_UViG_3300049812_005492	Temperate
IMGVR_UViG_3300044221_004427	-
IMGVR_UViG_3300044269_003655	Virulent
IMGVR_UViG_3300044271_003793	Virulent
IMGVR_UViG_3300044232_003979	Virulent
IMGVR_UViG_3300044233_005776	Virulent
IMGVR_UViG_3300044272_005523	Virulent
IMGVR_UViG_3300044303_003265	Virulent
IMGVR_UViG_3300046127_000034	Filtered
IMGVR_UViG_3300002919_000013	Virulent
IMGVR_UViG_3300027685_000019	Virulent
IMGVR_UViG_3300009622_000006	Virulent
IMGVR_UViG_3300042149_000044	Filtered
IMGVR_UViG_3300006692_000010	Filtered
IMGVR_UViG_3300006709_000009	Filtered
IMGVR_UViG_3300021934_000071	-
IMGVR_UViG_3300021899_000033	Filtered
IMGVR_UViG_3300009790_000865	Virulent
IMGVR_UViG_3300009790_001806	Virulent
IMGVR_UViG_3300009593_002280	Virulent
IMGVR_UViG_3300009593_001017	Virulent
IMGVR_UViG_3300009593_000433	Virulent
IMGVR_UViG_3300009593_002578	Virulent
IMGVR_UViG_3300027906_002549	Virulent
IMGVR_UViG_3300027906_000658	Virulent
IMGVR_UViG_3300027906_000600	Virulent
IMGVR_UViG_3300027906_001844	Virulent
IMGVR_UViG_3300012953_000032	Virulent
IMGVR_UViG_3300012953_007152	-
IMGVR_UViG_3300012953_006606	Virulent
IMGVR_UViG_3300012953_006593	Virulent
IMGVR_UViG_3300012953_000013	Virulent
IMGVR_UViG_3300012952_003181	Virulent
IMGVR_UViG_3300012952_004048	Virulent
IMGVR_UViG_3300012952_003626	Virulent
IMGVR_UViG_3300017066_000050	Filtered
IMGVR_UViG_3300010934_000131	Virulent
IMGVR_UViG_3300032755_000239	-
IMGVR_UViG_3300009788_003983	Virulent
IMGVR_UViG_3300009788_002992	Virulent
IMGVR_UViG_3300009488_001905	Virulent
IMGVR_UViG_3300024432_001332	Virulent
IMGVR_UViG_3300036650_000309	Filtered
IMGVR_UViG_3300009445_000510	Virulent
IMGVR_UViG_3300025869_000280	Virulent
IMGVR_UViG_3300025881_000872	Virulent
IMGVR_UViG_3300001346_000307	Virulent
IMGVR_UViG_3300025897_001273	Virulent
IMGVR_UViG_3300025876_002034	Temperate
IMGVR_UViG_3300001355_001212	Virulent
IMGVR_UViG_3300025890_001640	Virulent
IMGVR_UViG_3300005430_000385	Virulent
IMGVR_UViG_3300026257_000330	Virulent
IMGVR_UViG_3300000256_000231	Virulent
IMGVR_UViG_3300032278_001504	Virulent
IMGVR_UViG_3300032820_000002	Virulent
IMGVR_UViG_3300035194_000012	Virulent
IMGVR_UViG_3300035220_000309	Virulent
IMGVR_UViG_3300006789_000786	-
IMGVR_UViG_3300017708_000462	Virulent
IMGVR_UViG_3300029267_003225	-
IMGVR_UViG_3300029267_005977	Virulent
IMGVR_UViG_3300028840_000352	Virulent
IMGVR_UViG_3300028612_002404	Temperate
IMGVR_UViG_3300028835_001640	Virulent
IMGVR_UViG_3300025132_008431	Virulent
IMGVR_UViG_3300002514_008238	Virulent
IMGVR_UViG_3300025141_017016	Virulent
IMGVR_UViG_3300025141_013347	Virulent
IMGVR_UViG_3300001460_000923	Virulent
IMGVR_UViG_3300025120_011494	Virulent
IMGVR_UViG_3300025120_014154	-
IMGVR_UViG_3300025120_013055	Virulent
IMGVR_UViG_3300001472_001435	Virulent
IMGVR_UViG_3300025137_004249	Virulent
IMGVR_UViG_3300029262_000349	Temperate
IMGVR_UViG_3300038829_000268	Virulent
IMGVR_UViG_3300009139_000306	Virulent
IMGVR_UViG_3300009030_000675	Temperate
IMGVR_UViG_3300024431_000459	Temperate
IMGVR_UViG_3300020595_002116	Virulent
IMGVR_UViG_3300037465_000058	Virulent
IMGVR_UViG_3300043244_000045	Temperate
IMGVR_UViG_3300043184_000033	Virulent
IMGVR_UViG_3300037311_000174	Temperate
IMGVR_UViG_3300043184_000184	Temperate
IMGVR_UViG_3300037311_000471	Temperate
IMGVR_UViG_3300037422_000443	Virulent
IMGVR_UViG_3300001683_000154	Virulent
IMGVR_UViG_3300045136_000368	Virulent
IMGVR_UViG_3300044960_000391	Virulent
IMGVR_UViG_3300003702_000014	Virulent
IMGVR_UViG_3300045993_000004	Virulent
IMGVR_UViG_3300045993_001198	-
IMGVR_UViG_3300035145_003744	Virulent
IMGVR_UViG_2037747001_000003	Temperate
IMGVR_UViG_2037747006_000003	Temperate
IMGVR_UViG_3300024552_000500	-
IMGVR_UViG_3300024573_001304	Filtered
IMGVR_UViG_3300024536_000830	Filtered
IMGVR_UViG_3300024536_000812	-
IMGVR_UViG_3300024864_000769	Filtered
IMGVR_UViG_3300024559_000564	-
IMGVR_UViG_3300024866_001141	Filtered
IMGVR_UViG_3300026562_000564	-
IMGVR_UViG_3300026570_000787	Filtered
IMGVR_UViG_3300024854_000469	-
IMGVR_UViG_3300024865_000693	-
IMGVR_UViG_3300024550_000554	-
IMGVR_UViG_3300028112_001083	Filtered
IMGVR_UViG_3300024574_000958	-
IMGVR_UViG_3300024867_001052	-
IMGVR_UViG_3300024572_001131	-
IMGVR_UViG_3300026573_001837	-
IMGVR_UViG_3300047552_001394	Virulent
IMGVR_UViG_3300024849_000296	Filtered
IMGVR_UViG_3300025753_000183	Filtered
IMGVR_UViG_3300025746_000105	Filtered
IMGVR_UViG_3300026415_000216	Filtered
IMGVR_UViG_3300024533_000369	-
IMGVR_UViG_3300021847_000164	-
IMGVR_UViG_3300009080_000098	Virulent
IMGVR_UViG_3300007554_000045	Temperate
IMGVR_UViG_3300007557_000502	-
IMGVR_UViG_3300027192_000082	Virulent
IMGVR_UViG_3300027751_001409	Temperate
IMGVR_UViG_3300027753_001053	Virulent
IMGVR_UViG_3300008996_000868	Virulent
IMGVR_UViG_3300027418_000406	Virulent
IMGVR_UViG_3300006484_002292	Virulent
IMGVR_UViG_3300027631_002707	Virulent
IMGVR_UViG_3300027571_000308	Virulent
IMGVR_UViG_3300026439_000098	-
IMGVR_UViG_3300027306_000007	Virulent
IMGVR_UViG_3300027534_000189	-
IMGVR_UViG_3300027336_000133	-
IMGVR_UViG_3300026412_000113	-
IMGVR_UViG_3300025745_000115	-
IMGVR_UViG_3300025744_000106	-
IMGVR_UViG_3300025747_000150	-
IMGVR_UViG_3300024863_000623	Filtered
IMGVR_UViG_3300025743_000048	-
IMGVR_UViG_3300025742_000100	-
IMGVR_UViG_3300025757_000211	-
IMGVR_UViG_3300028081_000113	-
IMGVR_UViG_3300023206_000050	-
IMGVR_UViG_3300023206_000041	-
IMGVR_UViG_3300023206_000046	-
IMGVR_UViG_3300015088_000012	-
IMGVR_UViG_3300028919_000051	-
IMGVR_UViG_3300028919_000041	-
IMGVR_UViG_3300028919_000046	-
IMGVR_UViG_3300028919_000047	-
IMGVR_UViG_3300039122_000007	Temperate
IMGVR_UViG_3300006029_003247	-
IMGVR_UViG_3300006403_002789	Filtered
IMGVR_UViG_3300034418_014040	Temperate
IMGVR_UViG_3300039123_000005	Temperate
IMGVR_UViG_3300001592_001567	Temperate
IMGVR_UViG_3300001594_001567	Temperate
IMGVR_UViG_3300036957_000108	Virulent
IMGVR_UViG_3300015615_000452	Virulent
IMGVR_UViG_3300002343_000175	-
IMGVR_UViG_3300006056_003788	Temperate
IMGVR_UViG_3300005988_000729	-
IMGVR_UViG_3300031485_000177	Temperate
IMGVR_UViG_3300015607_005583	Virulent
IMGVR_UViG_3300015606_001976	Virulent
IMGVR_UViG_3300015608_004699	-
IMGVR_UViG_3300015608_001712	Virulent
IMGVR_UViG_3300015608_004350	Temperate
IMGVR_UViG_3300015610_000985	Virulent
IMGVR_UViG_3300033068_000876	Virulent
IMGVR_UViG_3300003873_000363	Virulent
IMGVR_UViG_3300033146_004909	-
IMGVR_UViG_3300024516_000143	Virulent
IMGVR_UViG_3300002895_000012	Virulent
IMGVR_UViG_3300011226_000002	Temperate
IMGVR_UViG_3300011536_000016	Temperate
IMGVR_UViG_3300011547_000022	Virulent
IMGVR_UViG_3300026613_000128	Virulent
IMGVR_UViG_3300029585_000134	Virulent
IMGVR_UViG_3300022221_000009	Temperate
IMGVR_UViG_3300037245_000653	Virulent
IMGVR_UViG_3300037521_000225	Temperate
IMGVR_UViG_3300043172_000335	Virulent
IMGVR_UViG_3300006467_000381	Temperate
IMGVR_UViG_3300010392_001096	Temperate
IMGVR_UViG_3300010430_000278	Temperate
IMGVR_UViG_3300037424_000596	Virulent
IMGVR_UViG_3300037755_000598	Virulent
IMGVR_UViG_3300005588_000064	Temperate
IMGVR_UViG_3300005589_000100	Temperate
IMGVR_UViG_3300014202_001287	Temperate
IMGVR_UViG_3300022693_002153	Virulent
IMGVR_UViG_3300023219_000191	Temperate
IMGVR_UViG_3300037628_000122	Virulent
IMGVR_UViG_3300009873_000021	Virulent
